,Brand,Generic,Uses
3628,tekturna hct,Aliskiren/Hydrochlorothiazide,"This product is used to treat high blood pressure (hypertension). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This product contains 2 medications: aliskiren and hydrochlorothiazide. Aliskiren works by relaxing blood vessels so blood can flow more easily. It belongs to a class of drugs known as direct renin inhibitors. Hydrochlorothiazide causes your body to get rid of extra salt and water by making more urine. It is called a ""water pill"" or diuretic."
3629,telmisartan,Telmisartan,"This medication is used to treat high blood pressure (hypertension). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. Telmisartan belongs to a class of drugs called angiotensin receptor blockers (ARBs). It works by relaxing blood vessels so blood can flow more easily."
3630,telmisartan-amlodipine,Telmisartan/Amlodipine,"This product is used to treat high blood pressure (hypertension). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This product contains 2 medications: telmisartan and amlodipine. Telmisartan is an angiotensin receptor blocker (ARB) and amlodipine is a calcium channel blocker. They both work differently to relax the blood vessels so that blood can flow more easily. These medications are used together when one drug is not controlling your blood pressure. Your doctor may direct you to start taking the individual medications first, and then switch you to this combination product if it is the best dose combination for you."
3631,telmisartan-hydrochlorothiazid,Telmisartan/Hydrochlorothiazid,"This medication is used to treat high blood pressure (hypertension). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This product contains 2 medications: telmisartan and hydrochlorothiazide. Telmisartan belongs to a class of drugs called angiotensin receptor blockers (ARBs). It works by relaxing blood vessels so blood can flow more easily. Hydrochlorothiazide is a ""water pill"" (diuretic). It increases the amount of urine you make, especially when you first start the medication. It also helps to relax the blood vessels so that blood can flow more easily. These medications are used together when 1 drug alone is not controlling your blood pressure. Your doctor may direct you to start taking the individual medications first, and then switch you over to this combination product if this is the best dose combination for you."
3632,temazepam,Temazepam,"This medication is used to treat a certain sleep problem (insomnia). It may help you fall asleep faster, stay asleep longer, and lessen how often you wake up during the night, so you can get a better night's rest. Temazepam belongs to a class of drugs called benzodiazepines. It acts on your brain to produce a calming effect. Use of this medication is usually limited to short treatment periods of 1 to 2 weeks or less. If your insomnia continues for a longer time, talk to your doctor to see if you need other treatment."
3633,temodar*,Temozolomide,This medication is used to treat certain types of brain cancer. Temozolomide belongs to a class of drugs known as alkylating agents. It works by slowing or stopping the growth of cancer cells.
3634,temozolomide,Temozolomide,This medication is used to treat certain types of brain cancer. Temozolomide belongs to a class of drugs known as alkylating agents. It works by slowing or stopping the growth of cancer cells.
3635,temsirolimus,Temsirolimus,This medication is used to treat kidney cancer. It works by slowing or stopping the growth of cancer cells.
3636,tenivac,Tetanus-Diphtheria Toxoids/PF,"This vaccine is used to help prevent problems that may occur with 2 bacterial infections in children and adults (tetanus and diphtheria). Tetanus (lockjaw) and diphtheria can cause serious, sometimes fatal problems (heart problems, nerve problems, muscle paralysis). Vaccination is the best way to protect (provide immunity) against these life-threatening diseases. Vaccines work by getting the body to make its own protection (antibodies). This vaccine is recommended for all people 7 years and older. Diphtheria and tetanus toxoids combined (adult) injection should not be used in anyone younger than 7 years because they may not be fully protected by this vaccine. A vaccine for children younger than 7 years is available. Consult your child's health care professional for more information."
3637,tenofovir disoproxil fumarate,Tenofovir Disoproxil Fumarate,"Tenofovir is used with other HIV medications to help control HIV infection. It helps to decrease the amount of HIV in your body so your immune system can work better. This lowers your chance of getting HIV complications (such as new infections, cancer) and improves your quality of life. Tenofovir belongs to a class of drugs known as nucleotide reverse transcriptase inhibitors (NRTIs). Tenofovir is not a cure for HIV infection. To decrease your risk of spreading HIV disease to others, continue to take all HIV medications exactly as prescribed by your doctor. Use an effective barrier method (latex or polyurethane condoms/dental dams) during sexual activity as directed by your doctor. Do not share personal items (such as needles/syringes, toothbrushes, and razors) that may have contacted blood or other body fluids. Consult your doctor or pharmacist for more details. Tenofovir is also used to treat a certain type of liver infection called chronic hepatitis B infection. It helps to decrease the amount of hepatitis B virus in your body by interfering with virus growth."
3638,tenormin,Atenolol,"Atenolol is used with or without other medications to treat high blood pressure (hypertension). Lowering high blood pressure helps prevent strokes, heart attacks, and kidney problems. This medication is also used to treat chest pain (angina) and to improve survival after a heart attack. Atenolol belongs to a class of drugs known as beta blockers. It works by blocking the action of certain natural chemicals in your body, such as epinephrine, on the heart and blood vessels. This effect lowers the heart rate, blood pressure, and strain on the heart."
